Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1982,56.5,60.7,60.5,63.7,65.8,66.7,71.8,73.5,73.1,70.1,62.1,57.4
1983,60.7,60.9,61.9,62.4,66.2,68.1,72.5,77.4,76.8,72.2,64.3,60.6
1984,61.2,60.1,63.6,64.3,68.1,69.9,77.2,76.5,78.9,68.5,61.4,56.7
1985,57,57.1,58.9,63.6,64.7,69,75.3,72.3,69.8,67.9,60,58
1986,60.9,58.9,60.5,62.8,64.6,67.4,69.6,71.8,66.9,65.4,62.8,57.6
1987,55.3,58,59.1,63.4,64.6,65.8,67,69.9,69.9,69.5,61.8,53.9
1988,56.7,59.9,61.6,62.4,63.8,64.9,70.4,71,70,66.7,60.1,56
1989,54.7,56.7,59.7,65.6,63.7,65.9,70,71,70.3,66.3,63.1,58.7
1990,56.6,55.2,58.7,63.2,64.2,68.9,72.3,71.6,71.7,68.6,62.7,55.6
1991,57.4,59.4,56.5,61.7,62,64.1,67.4,68.9,69.4,67.9,62.3,57.3
1992,57.4,61.1,60.4,67,67.9,68.1,71.8,74.9,72.4,68.2,62.6,55.3
1993,56.9,58,61.3,63.8,66,68.6,69.8,70.2,69,67.3,61.6,57
1994,57.8,56.4,60.4,61,62.1,68.1,69.5,74,72.5,66.8,56.4,55.8
1995,56.9,61.4,60.4,61.5,62,64.8,69,71.9,71.4,67.1,63.2,58.3
1996,57.6,58.8,60.1,64.6,66.8,67.8,70,72.8,70.6,64.2,61.6,57.8
1997,58,58.4,61.6,62.5,68.6,67.4,69.2,72.9,75.2,68.7,64,57.4
1998,58.2,57.3,59.2,59.6,62.8,65.6,68.7,72.7,70.3,65.7,59.7,55.4
1999,57.5,57.7,58.3,58.9,60.5,62.8,68.4,68,66.9,68.8,60.5,57.8
2000,58.2,59,58.1,62.4,64.6,68.2,69.1,72,70.5,65.1,58.4,58.1
2001,54.7,54.8,58.9,58.5,63.6,67.6,69,69.6,68.2,66.3,61.4,55.5
2002,55.6,57.5,57.6,59.5,61.8,64.7,67.8,68.8,70,64.2,63.4,56.8
2003,61.7,59,60.3,59.9,62.4,64.2,70,72.7,69.9,67.7,60.8,56.9
2004,56.8,56.7,62.6,64.4,68.5,67.8,72,70.8,72.6,65.3,60.1,57.7
2005,58.8,59.8,61,61.8,65.4,66.4,69.9,71,68.5,65.9,62.8,58.4
2006,57,58.3,57.2,61.9,64.7,70.8,76.3,73.1,70.2,65.8,63.4,56.4
2007,54,57.5,59.9,59.9,63,65.3,69.8,73.3,69.5,66.7,61.2,54.2
2008,54.4,55.6,58.9,61.8,63.4,66.9,69.6,72.1,71.1,69,64.6,56.6
2009,59.9,57.9,59.5,62.6,64.1,66.2,70.6,72.4,72.1,65.6,61.2,56.7
2010,58.2,58.3,60.2,60.1,62.1,63.8,65.8,68,68.8,67.9,62.3,58.8
2011,60.1,57.6,60.9,63.6,64.7,65.4,70,69.1,68.8,65.6,60.2,55.5
2012,58.2,57.9,58.1,61.1,63.7,65.1,68.7,73.7,74.8,69.1,62.2,57.4
2013,55.8,56.3,60.1,61.8,65.9,66.6,70.3,70.7,71.5,66,63.9,59.4
2014,61.3,61.2,64.1,65.2,69.5,68.4,73.6,73.8,75.6,71.8,65.6,60.5
2015,60.8,63.1,66.6,65.8,64,68.9,72.4,75.1,77.2,74.4,63.3,58.1
2016,58.5,63.9,62.7,65.5,65,68.9,70.9,72.8,72,70.6,65.8,58.9
2017,57.9,59.6,62.7,65.3,64.9,67.7,73,73.1,72.8,71.1,65.1,60.2
